Date,INDUSINDBK.NS,HCLTECH.NS,LT.NS,POWERGRID.NS,TCS.NS,ONGC.NS,NTPC.NS,SBIN.NS,HDFCBANK.NS,WIPRO.NS,TITAN.NS,ICICIBANK.NS,BAJFINANCE.NS,KOTAKBANK.NS,RELIANCE.NS,ULTRACEMCO.NS,MARUTI.NS,TECHM.NS,TATASTEEL.NS,AXISBANK.NS,INFY.NS,ITC.NS,ADANIPORTS.NS,BHARTIARTL.NS,HINDUNILVR.NS,ASIANPAINT.NS,SUNPHARMA.NS,GRASIM.NS,JSWSTEEL.NS,TATAMOTORS.NS
2019-01-01,1532.775146484375,382.57611083984375,1295.537841796875,75.19985961914062,1582.1658935546875,96.97786712646484,92.17313385009766,276.4459228515625,504.3924865722656,112.14734649658203,906.1698608398438,350.9570007324219,259.2041015625,248.9153594970703,498.4905700683594,3878.70263671875,7004.46142578125,556.5626220703125,42.17546844482422,623.9168701171875,553.4484252929688,201.85606384277344,373.28509521484375,280.4254150390625,1607.5006103515625,1295.0107421875,402.7558898925781,797.115234375,280.3340148925781,
2019-01-02,1514.5233154296875,377.19525146484375,1280.8026123046875,73.41385650634766,1599.2115478515625,96.03095245361328,91.11936950683594,271.1864318847656,499.7902526855469,111.76969909667969,910.2223510742188,351.777099609375,255.028564453125,246.95460510253906,491.99822998046875,3875.70361328125,6808.71240234375,551.1060791015625,40.36824417114258,616.7058715820312,556.7772827148438,200.35659790039062,365.8961486816406,274.41314697265625,1592.77392578125,1306.1051025390625,408.794189453125,779.9010009765625,266.2688293457031,
2019-01-03,1498.6728515625,377.9924621582031,1253.3984375,72.586669921875,1579.7965087890625,92.99427795410156,88.88790130615234,268.6028137207031,495.86895751953125,111.75252532958984,909.2946166992188,350.474609375,252.31149291992188,245.8896484375,485.92828369140625,3773.10595703125,6748.84912109375,535.0074462890625,39.35422897338867,604.6712036132812,556.8605346679688,199.10704040527344,362.8254089355469,275.1592102050781,1596.1656494140625,1310.8262939453125,405.124755859375,764.7906494140625,260.6889343261719,
2019-01-04,1487.241455078125,371.6152038574219,1247.154296875,73.65824890136719,1560.5887451171875,95.14934539794922,90.34456634521484,274.6466064453125,497.19549560546875,111.39201354980469,906.6093139648438,352.3560485839844,251.3212432861328,248.41770935058594,488.5519104003906,3787.133544921875,6777.46923828125,527.1516723632812,39.87759017944336,616.25830078125,550.1195678710938,200.6065216064453,366.7117919921875,283.0146484375,1590.185791015625,1308.5128173828125,402.9881286621094,770.9590454101562,265.5771179199219,
2019-01-07,1497.7603759765625,375.2821960449219,1243.33544921875,74.6170425415039,1578.0919189453125,96.55339813232422,92.11116790771484,273.4009094238281,497.94696044921875,111.32337188720703,921.8424072265625,354.7681579589844,249.13101196289062,248.1489715576172,491.2644958496094,3798.9365234375,6896.96044921875,532.1051635742188,39.701778411865234,634.0120849609375,558.9824829101562,201.1063232421875,366.2319641113281,285.20892333984375,1593.0865478515625,1318.0965576171875,400.2012023925781,784.8260498046875,267.32952880859375,
2019-01-08,1515.6279296875,376.7170104980469,1241.89794921875,74.20345306396484,1574.474609375,96.29217529296875,91.08839416503906,281.70538330078125,493.8026123046875,111.76969909667969,923.8930053710938,366.7802734375,247.516357421875,244.62559509277344,491.22003173828125,3788.826904296875,6969.51806640625,533.924072265625,40.18016052246094,647.3895874023438,557.609375,202.9628143310547,363.44921875,288.9830322265625,1580.5020751953125,1323.0535888671875,416.22601318359375,800.0797729492188,271.0648193359375,
2019-01-09,1538.68310546875,374.02667236328125,1245.3570556640625,74.29745483398438,1568.98681640625,94.88813018798828,90.84046173095703,281.70538330078125,497.0429992675781,112.95415496826172,930.5330200195312,368.806396484375,246.27735900878906,246.48681640625,493.9326171875,3693.000732421875,7019.544921875,536.9038696289062,39.186588287353516,666.4859619140625,562.6442260742188,207.3540802001953,362.0577392578125,293.5909423828125,1593.131103515625,1323.7618408203125,416.8763122558594,798.8365478515625,268.15960693359375,
2019-01-10,1504.24462890625,373.0102233886719,1251.2423095703125,73.56426239013672,1570.317138671875,93.54936218261719,91.80123138427734,281.93603515625,495.0940246582031,111.83834075927734,943.9596557617188,366.1531066894531,245.3310089111328,242.76438903808594,492.4873962402344,3693.919921875,6924.64453125,537.561767578125,39.28472137451172,659.6729736328125,565.6400756835938,206.7828826904297,364.8885498046875,296.0484924316406,1594.2020263671875,1318.427001953125,413.02105712890625,784.3956909179688,266.8222351074219,
2019-01-11,1455.4927978515625,374.6842956542969,1230.5767822265625,73.07544708251953,1532.06884765625,94.46363067626953,91.73926544189453,279.3524475097656,495.8924255371094,112.85115051269531,936.733642578125,365.2364807128906,245.28709411621094,243.490966796875,488.28509521484375,3647.482177734375,6858.0361328125,541.16064453125,38.777713775634766,662.9054565429688,568.8024291992188,210.88851928710938,361.9137878417969,294.11761474609375,1579.2081298828125,1325.319580078125,412.8352355957031,778.70556640625,266.361083984375,
2019-01-14,1425.617431640625,373.54840087890625,1198.500732421875,72.37985229492188,1507.7056884765625,93.67999267578125,90.22058868408203,277.18408203125,493.4856262207031,107.30644989013672,934.9760131835938,360.2193908691406,248.2724609375,241.2117156982422,487.7292785644531,3653.673828125,6940.6640625,526.1842041015625,38.5037727355957,655.6448364257812,584.11474609375,210.13885498046875,359.3229064941406,291.04559326171875,1574.299072265625,1311.1094970703125,418.8271179199219,778.179443359375,261.8418273925781,
