model,Mean Monthly IC,IC Std Dev,Hit Rate,Decile Spread,Global IC,p-value
XGBoost,0.01911862601517774,0.20469326733200252,0.5209692451071761,0.010235766055555557,0.020348066894256195,0.5055216070607904
Linear Regression,0.020170416722140854,0.18997897292729946,0.5097856477166822,0.005222200398148149,0.02549926413271985,0.40403685850770876
Random Forest,0.018506190919984015,0.20292220132702735,0.5144454799627214,0.00926795687962963,0.015106163590768114,0.6211090220790952
LightGBM,0.029223805085874043,0.1995082620878994,0.5228331780055918,0.0025156945462962966,0.028233268101639588,0.3555205201170947
Momentum,-0.026907202769271735,0.23422944553687383,0.49487418452935694,0.004487316685185185,-0.03896284472229715,0.20220660953556666
