date,ticker,adjusted_close,close,high,low,open,volume,mom_1m,mom_3m,mom_6m,mom_12m,vol_3m,vol_12m,volume_ratio,rsi,macd_diff,bb_pband,atr,cci,dist_52w_high,year_month,monthly_return,excess_return,target_return,mom_1m_rank,mom_3m_rank,mom_6m_rank,mom_12m_rank,vol_3m_rank,vol_12m_rank,volume_ratio_rank,rsi_rank,macd_diff_rank,bb_pband_rank,atr_rank,cci_rank,dist_52w_high_rank
2015-01-30,ADANIENT.NS,90.5889892578125,96.14944458007812,99.01568603515624,86.46246337890625,90.95342254638672,65285063.0,,,,,,,,86.69440077722615,,1.2335202927260844,3.9481180412527546,228.7469233658814,,2015-01,,,0.133986851591082,,,,,,,,1.0,,1.0,0.2127659574468085,0.9574468085106383,
2015-02-27,ADANIENT.NS,102.72672271728516,109.03221130371094,109.3311004638672,105.43791198730467,106.09699249267578,12843035.0,0.2766510180186219,,,,,,,68.69643306727532,-0.10751967591316625,0.9024541320396071,4.083252115041841,106.914906906356,,2015-02,0.133986851591082,0.133986851591082,-0.1349545775488119,1.0,,,,,,,0.9787234042553191,0.6382978723404256,0.9148936170212766,0.19148936170212766,0.9148936170212766,
2015-03-31,ADANIENT.NS,88.86328125,94.31781005859376,97.02310943603516,93.7506866455078,95.3524169921875,8187770.0,-0.1349545775488119,,,,,,,45.29772228786208,-0.6852334719458241,0.34357305095904944,3.5714739040666323,-44.70898325320794,,2015-03,-0.1349545775488119,-0.1349545775488119,0.0956365011923601,0.06382978723404255,,,,,,,0.5319148936170213,0.5957446808510638,0.574468085106383,0.1276595744680851,0.6170212765957447,
2015-04-30,ADANIENT.NS,97.36185455322266,103.33804321289062,105.60651397705078,102.80158233642578,103.92048645019533,13112048.0,0.1326332671520356,0.1957080520427712,,,0.3998816588328459,,,60.32234308754698,0.4608220429465064,0.8875493102238453,3.278815943894382,160.57492187126473,,2015-04,0.0956365011923601,0.0956365011923601,0.0476120473493022,0.9787234042553191,1.0,,,0.9361702127659575,,,1.0,0.9361702127659575,0.9787234042553191,0.10638297872340426,0.9787234042553191,
2015-05-29,ADANIENT.NS,101.99745178222656,108.25817108154295,112.50389099121094,104.0201187133789,112.50389099121094,52597892.0,0.042509138031412874,-0.00828444241355597,,,0.4340240115221431,,,45.99825840587885,-0.7296236094081161,0.33087455620696415,4.627254926619308,-48.853994317819776,,2015-05,0.0476120473493022,0.0476120473493022,-0.5427202163810185,0.5531914893617021,0.5531914893617021,,,0.9787234042553191,,,0.23404255319148937,0.10638297872340426,0.1702127659574468,0.2765957446808511,0.19148936170212766,
2015-06-30,ADANIENT.NS,46.64137268066406,49.504276275634766,51.16622543334961,48.904884338378906,49.44978713989258,10729342.0,-0.4898085268729433,-0.457409982932503,,,0.9644803266830897,,,24.329837952166585,1.0884150795004182,0.17032479622706273,7.869082476953218,-63.50815061394878,,2015-06,-0.5427202163810185,-0.5427202163810185,-0.0129937981914417,0.02127659574468085,0.02127659574468085,,,1.0,,,0.0425531914893617,0.5531914893617021,0.06382978723404255,0.40425531914893614,0.1276595744680851,
2015-07-31,ADANIENT.NS,46.03532409667969,47.48814010620117,48.3599853515625,47.0794677734375,47.95130920410156,6479144.0,-0.017858575809627575,-0.5544342379153524,-0.4278894350150012,,0.96403527052336,,0.46853715639967014,44.05358820478869,1.0559952116366382,0.6767469043350534,2.792553067651262,3.0494400499508902,,2015-07,-0.0129937981914417,-0.0129937981914417,-0.1376934846241478,0.2978723404255319,0.02127659574468085,0.02127659574468085,,1.0,,0.02127659574468085,0.1702127659574468,0.8085106382978723,0.5319148936170213,0.14893617021276595,0.3829787234042553,
2015-08-31,ADANIENT.NS,39.69655990600586,40.94932556152344,42.61127471923828,40.81310272216797,42.17535400390625,6080032.0,-0.13769348462414788,-0.2954661073119845,-0.6135712416791976,,0.6501302031347724,,0.9154974568442575,38.5808313984604,-0.38028113082799075,0.1902941831077017,3.1891921081303556,-93.91908054124559,,2015-08,-0.1376934846241478,-0.1376934846241478,0.0758482310811374,0.1276595744680851,0.0425531914893617,0.02127659574468085,,1.0,,0.3191489361702128,0.425531914893617,0.7872340425531915,0.425531914893617,0.10638297872340426,0.44680851063829785,
2015-09-30,ADANIENT.NS,42.70747375488281,44.05526351928711,44.35496139526367,42.85647964477539,43.592098236083984,4967654.0,0.048638213752320025,-0.09233630142244997,-0.5220433263967655,,0.6302931654980717,,0.6059537616901425,54.87725266439261,0.700271866958033,0.8282605557974557,2.6260614765235117,92.91403809718383,,2015-09,0.0758482310811374,0.0758482310811374,0.1428572066582418,0.851063829787234,0.3191489361702128,0.02127659574468085,,1.0,,0.10638297872340426,0.6808510638297872,0.48936170212765956,0.6595744680851063,0.0851063829787234,0.6595744680851063,
2015-10-30,ADANIENT.NS,48.80854415893555,50.34887313842773,51.43867492675781,49.58600997924805,49.74948120117188,8062369.0,0.16888034533076546,0.1629517266854159,-0.49868925173098,,0.6857158506175782,,0.686140609103876,60.33579567193276,-0.11925731316621158,0.6572890860234242,2.2213038299965246,46.29661474483314,,2015-10,0.1428572066582418,0.1428572066582418,-0.1082251187136216,0.9574468085106383,0.9787234042553191,0.02127659574468085,,1.0,,0.14893617021276595,0.851063829787234,0.574468085106383,0.7446808510638298,0.0851063829787234,0.6808510638297872,
