date,ticker,adjusted_close,close,high,low,open,volume,daily_return,year_month,monthly_return,excess_return
2015-01-30,ADANIENT.NS,90.5889892578125,96.14944458007812,99.01568603515624,86.46246337890625,90.95342254638672,65285063.0,0.07524860247420695,2015-01,,
2015-02-27,ADANIENT.NS,102.72672271728516,109.03221130371094,109.3311004638672,105.43791198730467,106.09699249267578,12843035.0,0.03386383563522388,2015-02,0.13398685159108203,0.13398685159108203
2015-03-31,ADANIENT.NS,88.86328125,94.31781005859376,97.02310943603516,93.7506866455078,95.3524169921875,8187770.0,-0.005494950240115926,2015-03,-0.1349545775488119,-0.1349545775488119
2015-04-30,ADANIENT.NS,97.36185455322266,103.33804321289062,105.60651397705078,102.80158233642578,103.92048645019533,13112048.0,-0.004870991442682326,2015-04,0.09563650119236011,0.09563650119236011
2015-05-29,ADANIENT.NS,101.99745178222656,108.25817108154295,112.50389099121094,104.0201187133789,112.50389099121094,52597892.0,-0.038393524981717664,2015-05,0.047612047349302244,0.047612047349302244
2015-06-30,ADANIENT.NS,46.64137268066406,49.504276275634766,51.16622543334961,48.904884338378906,49.44978713989258,10729342.0,-0.005473542969736234,2015-06,-0.5427202163810185,-0.5427202163810185
2015-07-31,ADANIENT.NS,46.03532409667969,47.48814010620117,48.3599853515625,47.0794677734375,47.95130920410156,6479144.0,0.011500522811995095,2015-07,-0.012993798191441752,-0.012993798191441752
2015-08-31,ADANIENT.NS,39.69655990600586,40.94932556152344,42.61127471923828,40.81310272216797,42.17535400390625,6080032.0,-0.025291687565888177,2015-08,-0.13769348462414788,-0.13769348462414788
2015-09-30,ADANIENT.NS,42.70747375488281,44.05526351928711,44.35496139526367,42.85647964477539,43.592098236083984,4967654.0,0.02277024506728731,2015-09,0.07584823108113747,0.07584823108113747
2015-10-30,ADANIENT.NS,48.80854415893555,50.34887313842773,51.43867492675781,49.58600997924805,49.74948120117188,8062369.0,0.013713599915447627,2015-10,0.14285720665824186,0.14285720665824186
2015-11-30,ADANIENT.NS,43.5262336730957,44.89986038208008,45.47200775146485,44.46393966674805,44.8181266784668,2773913.0,0.0018237180809825837,2015-11,-0.10822511871362162,-0.10822511871362162
2015-12-31,ADANIENT.NS,44.05446243286133,45.44476318359375,45.798946380615234,44.8181266784668,45.553741455078125,4286718.0,0.0,2015-12,0.012135871064169912,0.012135871064169912
2016-01-29,ADANIENT.NS,38.481632232666016,39.69605255126953,39.968505859375,38.25206756591797,39.2601318359375,4584955.0,0.011103392208701823,2016-01,-0.1264986539942069,-0.1264986539942069
2016-02-29,ADANIENT.NS,31.0335750579834,32.01294708251953,33.40244674682617,31.7132511138916,33.07550430297852,8277215.0,-0.028925265435839287,2016-02,-0.19354836950913334,-0.19354836950913334
2016-03-31,ADANIENT.NS,39.39210891723633,40.21371078491211,40.81310272216797,39.50534057617188,39.66880798339844,9873493.0,0.017930889678698048,2016-03,0.2693384131101806,0.2693384131101806
2016-04-29,ADANIENT.NS,46.2777214050293,47.24293518066406,48.3872299194336,45.33578109741211,45.77170181274414,6954309.0,0.033989184364581426,2016-04,0.1747967467865148,0.1747967467865148
2016-05-31,ADANIENT.NS,38.885032653808594,39.69605255126953,41.05830764770508,39.17839813232422,41.05830764770508,6312199.0,-0.024112659584275997,2016-05,-0.1597461700095133,-0.1597461700095133
2016-06-30,ADANIENT.NS,46.30441284179688,47.27017974853516,47.81508255004883,45.3630256652832,45.553741455078125,9513478.0,0.04141661343799208,2016-06,0.19080298206362944,0.19080298206362944
2016-07-29,ADANIENT.NS,43.048431396484375,43.946285247802734,44.73638916015625,43.64658737182617,43.97352981567383,7206920.0,-0.020048351129235087,2016-07,-0.07031687144888021,-0.07031687144888021
2016-08-31,ADANIENT.NS,38.85833740234375,39.66880798339844,40.29544448852539,39.55982971191406,40.13197326660156,3876489.0,-0.007498363852505796,2016-08,-0.09733441749709881,-0.09733441749709881
2016-09-30,ADANIENT.NS,35.0685920715332,35.800010681152344,36.126949310302734,34.49224853515625,35.309600830078125,5643033.0,0.012326614824092585,2016-09,-0.09752721254054397,-0.09752721254054397
2016-10-28,ADANIENT.NS,35.709110260009766,36.45389175415039,36.91705703735352,36.07246017456055,36.590118408203125,4370843.0,-0.0007469102552688511,2016-10,0.018264724947326894,0.018264724947326894
